signal,time
3445.0893674676036,1669884022.1929657
3059.1785190581377,1669884022.1932194
-1209.7079311245463,1669884022.232789
-2026.8270852630708,1669884022.2333243
726.3451150566935,1669884022.2359586
-392.86791511948593,1669884022.2362292
-4429.499695423573,1669884022.2387748
-4141.857598789894,1669884022.2390294
78.59938917279956,1669884022.2415113
1149.0155243919435,1669884022.2417626
-402.82490724104366,1669884022.2443256
248.7661230202882,1669884022.24458
1763.1516856923154,1669884022.2815444
402.3166531048163,1669884022.281864
-3052.5372216152164,1669884022.2844446
-3070.1929916423,1669884022.284712
1462.5771749032915,1669884022.2872531
4517.799241452171,1669884022.2875168
3296.1492265122815,1669884022.2900872
2436.670140239828,1669884022.2903461
3065.308874000076,1669884022.2929127
405.6337973559504,1669884022.2931669
-4544.221171314133,1669884022.3302565
-4902.981038010423,1669884022.3305495
-788.5163060724136,1669884022.3330882
-436.6142868836887,1669884022.3333514
-3666.1647549904233,1669884022.3359168
-3379.0303706648037,1669884022.3361826
-625.4713931229276,1669884022.3387065
-502.53207313213716,1669884022.3389943
-1741.5448581120886,1669884022.3415399
441.2446199681476,1669884022.3418164
3945.1862486980604,1669884022.3789935
3330.8543215359546,1669884022.3793204
-522.9518057337605,1669884022.3821158
-1234.2933381142304,1669884022.3823957
2298.305028711267,1669884022.3849251
2187.6959236617427,1669884022.3851817
-30.921259113445387,1669884022.3880029
2518.036611594785,1669884022.3882654
3804.856030930873,1669884022.3908803
447.91143309789476,1669884022.3911498
-2560.576565307371,1669884022.4277728
-3936.6782863167455,1669884022.4280558
-3455.8476733737675,1669884022.43061
-1593.4340119102217,1669884022.4308574
-133.291373575148,1669884022.4333348
1302.3495199163024,1669884022.433575
1932.8862694326176,1669884022.4360673
279.51752493570075,1669884022.4363105
-1524.6121702475732,1669884022.438873
-786.5254436026653,1669884022.4391396
565.6847283239997,1669884022.476472
-1781.325576949392,1669884022.4767652
-4803.898277614988,1669884022.4793572
-1517.3614874676819,1669884022.4796152
4346.962436009553,1669884022.4821386
4345.591481542514,1669884022.4823935
-104.33944692573414,1669884022.4849133
-1417.2516326206774,1669884022.485165
1402.262155408926,1669884022.4877143
2677.4952972601322,1669884022.4879684
